,wikidataID,attractionName,attractionDescription,country,coordinates,type,namedAfter,locatedIn,height
102,http://www.wikidata.org/entity/Q76634324,Völkerkundliches Museum Witzenhausen,Museum in Deutschland,Deutschland,Point(9.861527 51.343836),Museum,,,
103,http://www.wikidata.org/entity/Q76634326,Regionalmuseum Wolfhager Land,Museum in Deutschland,Deutschland,Point(9.165948 51.325958),Museum,,,
104,http://www.wikidata.org/entity/Q76634329,Klostermuseum Hasungen,Museum in Deutschland,Deutschland,,Museum,,,
105,http://www.wikidata.org/entity/Q76634330,Mühle Laar,Museum in Deutschland,Deutschland,,Museum,,,
106,http://www.wikidata.org/entity/Q76634333,Heimatmuseum Zwingenberg,Museum in Deutschland,Deutschland,Point(8.612115 49.723999),Museum,,,
107,http://www.wikidata.org/entity/Q76634334,Printenmuseum,Museum in Deutschland,Deutschland,,Museum,,,
108,http://www.wikidata.org/entity/Q76634337,Schulmuseum im Schloss Ahaus,Museum in Deutschland,Deutschland,Point(7.0084477 52.0746355),Museum,,,
109,http://www.wikidata.org/entity/Q76634339,Torhausmuseum im Schloß Ahaus,Museum in Deutschland,Deutschland,Point(7.0084477 52.0746355),Museum,,,
110,http://www.wikidata.org/entity/Q76634342,Heimatmuseum Ahlen,Museum in Deutschland,Deutschland,Point(7.88878 51.76154),Museum,,,
111,http://www.wikidata.org/entity/Q76634344,Haus der Veener Geschichte,Museum in Deutschland,Deutschland,,Museum,,,
112,http://www.wikidata.org/entity/Q76634347,Schloß Höllinghofen,Museum in Deutschland,Deutschland,Point(7.9085 51.4653333),Museum,,,
113,http://www.wikidata.org/entity/Q76634349,Burgturm Davensberg,Museum in Deutschland,Deutschland,Point(7.592235 51.820252),Museum,,,
114,http://www.wikidata.org/entity/Q76634352,Heimat-Haus Herbern,Museum in Deutschland,Deutschland,,Museum,,,
115,http://www.wikidata.org/entity/Q76634355,Attendorner Feuerwehr-Museum e.V.,Museum in Deutschland,Deutschland,Point(7.89767 51.124331),Museum,,,
116,http://www.wikidata.org/entity/Q76634357,Die Drehkoite Girkhausen,Museum in Deutschland,Deutschland,Point(8.45502 51.117016),Museum,,,
117,http://www.wikidata.org/entity/Q76634358,Landwirtschaftmuseum Bad Berleburg,Museum in Deutschland,Deutschland,,Museum,,,
118,http://www.wikidata.org/entity/Q76634361,Schieferschaubergwerk Bad Berleburg,Museum in Deutschland,Deutschland,Point(8.380566 51.031566),Museum,,,
119,http://www.wikidata.org/entity/Q76634364,Schmiedemuseum Arfeld,Museum in Deutschland,Deutschland,,Museum,,,
120,http://www.wikidata.org/entity/Q76634366,"Wittgensteiner Heimathaus, Museum der Stadt Bad Berleburg",Museum in Deutschland,Deutschland,,Museum,,,
121,http://www.wikidata.org/entity/Q76634368,Heimatmuseum Burg Dringenberg,Museum in Deutschland,Deutschland,Point(9.017501 51.736643),Museum,,,
122,http://www.wikidata.org/entity/Q76634371,"Wasserschloß Neuenheerse - Intern. Museum f. Naturkunde u. Naturwissenschaften/0thnografica u. Völkerkunde, Heimatmuseum",Museum in Deutschland,Deutschland,Point(8.998436 51.676277),Museum,,,
123,http://www.wikidata.org/entity/Q76634374,Heimatmuseum Oberes Lahntal,Museum in Deutschland,Deutschland,Point(8.324685 50.942613),Museum,,,
124,http://www.wikidata.org/entity/Q76634376,Pilzkundliches Museum der Stadt Bad Laasphe,Museum in Deutschland,Deutschland,Point(8.4129512 50.9267119),Museum,,Bad Laasphe,
125,http://www.wikidata.org/entity/Q76634380,Heimatstube Volmerdingsen,Museum in Deutschland,Deutschland,Point(8.778252 52.25067),Museum,,,
126,http://www.wikidata.org/entity/Q76634386,Luisenhütte Balve-Wocklum,Museum in Deutschland,Deutschland,Point(7.88332 51.336043),Museum,,,
127,http://www.wikidata.org/entity/Q76634387,Stadtmuseum Beckum,Museum in Deutschland,Deutschland,,Museum,,,
128,http://www.wikidata.org/entity/Q76634388,Rosengart-Museum,Museum in Deutschland,Deutschland,,Museum,,,
129,http://www.wikidata.org/entity/Q76634390,Museum der Rheinischen Kliniken,Museum in Deutschland,Deutschland,Point(6.176507 51.762384),Museum,,,
130,http://www.wikidata.org/entity/Q76634391,Schloß Paffendorf - Info-Zentrum der RWE Power AG,Museum in Deutschland,Deutschland,Point(6.608615 50.963993),Museum,,,
131,http://www.wikidata.org/entity/Q76634393,Peter Heinrichs Pfeifenmuseum Chateau Henri,Museum in Deutschland,Deutschland,,Museum,,,
132,http://www.wikidata.org/entity/Q76634394,Städtische Fossiliensammlung,Museum in Deutschland,Deutschland,Point(7.130055 50.991961),Museum,,,
133,http://www.wikidata.org/entity/Q76634395,Stiftung Zanders - Papiergeschichtliche Sammlung,Museum in Deutschland,Deutschland,Point(7.133804 50.991685),Museum,,,
134,http://www.wikidata.org/entity/Q76634396,Stadtmuseum Bergkamen,Museum in Deutschland,Deutschland,Point(7.589451 51.609299),Museum,,,
135,http://www.wikidata.org/entity/Q76634398,Heimatmuseum Bergneustadt,Museum in Deutschland,Deutschland,Point(7.649436 51.022892),Museum,,,
136,http://www.wikidata.org/entity/Q76634400,Sauerländer Besucherbergwerk Ramsbeck,Museum in Deutschland,Deutschland,Point(8.402967 51.31578),Museum,,,
137,http://www.wikidata.org/entity/Q76634403,Korbmacher-Museum Dalhausen,Museum in Deutschland,Deutschland,,Museum,,,
138,http://www.wikidata.org/entity/Q76634405,Historische Sammlung,Museum in Deutschland,Deutschland,Point(8.522502 52.013112),Museum,,,
139,http://www.wikidata.org/entity/Q76634409,Museumshof Senne,Museum in Deutschland,Deutschland,,Museum,,,
140,http://www.wikidata.org/entity/Q76634412,Pädagogisches Museum Bielefeld,Museum in Deutschland,Deutschland,,Museum,,,
141,http://www.wikidata.org/entity/Q76634414,Kunstraum an der St.-Georg-Kirche,Museum in Deutschland,Deutschland,Point(6.613973 51.837447),Museum,,,
142,http://www.wikidata.org/entity/Q76634416,Bochumer Zentrum für Stadtgeschichte,Museum in Deutschland,Deutschland,Point(7.229129 51.477932),Museum,,,
143,http://www.wikidata.org/entity/Q76634419,Brauereikontor/Kleines Museum,Museum in Deutschland,Deutschland,Point(7.226959 51.481023),Museum,,,
144,http://www.wikidata.org/entity/Q76634421,LWL-Industriemuseum / Westfalisches Landesmuseum für Industriekultur Zeche Hannover,Museum in Deutschland,Deutschland,Point(7.157333 51.503055),Museum,,,
145,http://www.wikidata.org/entity/Q76634425,Sternwarte Bochum - Institut für Umwelt- und Zukunftsforschung e. V.,Museum in Deutschland,Deutschland,Point(7.193314 51.427222),Museum,,,
146,http://www.wikidata.org/entity/Q76634428,Heimathaus im Backhaus in Flierich,Museum in Deutschland,Deutschland,Point(7.807271 51.588769),Museum,,,
147,http://www.wikidata.org/entity/Q76634430,Bürgermeister-Stroof-Haus,Museum in Deutschland,Deutschland,Point(7.129332 50.753745),Museum,,,
148,http://www.wikidata.org/entity/Q76634433,Ernst-Moritz-Arndt-Haus,Museum in Deutschland,Deutschland,Point(7.110763 50.728885),Museum,,,
149,http://www.wikidata.org/entity/Q76634435,Gedenkstätte für die Bonner Opfer des Nationalsozialismus,Museum in Deutschland,Deutschland,,Museum,,,
150,http://www.wikidata.org/entity/Q76634438,Goldfuß-Museum,Museum in Deutschland,Deutschland,Point(7.08997 50.726489),Museum,,,
151,http://www.wikidata.org/entity/Q76634440,Haus der Natur - Waldinformationszentrum,Museum in Deutschland,Deutschland,Point(7.094873 50.690655),Museum,,,
152,http://www.wikidata.org/entity/Q76634443,Heimatmuseum Lengsdorf,Museum in Deutschland,Deutschland,Point(7.069432 50.712119),Museum,,,
153,http://www.wikidata.org/entity/Q76634444,Horst-Stoeckel-Museum für die Geschichte der Anästhesiologie,Museum in Deutschland,Deutschland,,Museum,,,
154,http://www.wikidata.org/entity/Q76634447,Museumsstiftung Post und Telekommunikation,Museum in Deutschland,Deutschland,Point(7.138626 50.70652),Museum,,,
155,http://www.wikidata.org/entity/Q76634449,Sammlung zeitgenössischer Kunst der Bundesrepublik Deutschland,Museum in Deutschland,Deutschland,Point(7.092612 50.749363),Museum,,,
156,http://www.wikidata.org/entity/Q76634450,Stadtmuseum Borken,Museum in Deutschland,Deutschland,,Museum,,,
157,http://www.wikidata.org/entity/Q76634453,Obstbau-Museum,Museum in Deutschland,Deutschland,,Museum,,,
158,http://www.wikidata.org/entity/Q76634454,Josef Albers Museum,Museum in Deutschland,Deutschland,Point(6.917976 51.53115),Museum,,,
159,http://www.wikidata.org/entity/Q76634456,Museum für Ur- und Ortsgeschichte,Museum in Deutschland,Deutschland,Point(6.917976 51.53115),Museum,,,
160,http://www.wikidata.org/entity/Q76634459,Waldinformationszentrum Heidhof,Museum in Deutschland,Deutschland,Point(6.878874 51.597962),Museum,,,
161,http://www.wikidata.org/entity/Q76634461,FSB Firmenmuseum,Museum in Deutschland,Deutschland,Point(9.176846 51.720741),Museum,,,
162,http://www.wikidata.org/entity/Q76634463,Museum Bökerhof,Museum in Deutschland,Deutschland,,Museum,,,
163,http://www.wikidata.org/entity/Q76634464,Stadtmuseum Brakel,Museum in Deutschland,Deutschland,Point(9.184142 51.717162),Museum,,,
164,http://www.wikidata.org/entity/Q76634466,Heimatmuseum Breckerfeld,Museum in Deutschland,Deutschland,Point(7.467261 51.26123),Museum,,,
165,http://www.wikidata.org/entity/Q76634468,Jagd-und Naturkundemuseum Burg Brüggen,Museum in Deutschland,Deutschland,Point(6.185962 51.240317),Museum,,,
166,http://www.wikidata.org/entity/Q76634471,Brühler KeramikMuseum,Museum in Deutschland,Deutschland,Point(6.90393 50.830302),Museum,,,
167,http://www.wikidata.org/entity/Q76634472,Jagdschloß Falkenlust,Museum in Deutschland,Deutschland,Point(6.907771 50.828364),Museum,,,
